iter	F1	Logloss
0	0.9499647639	0.5993695638
1	0.9689869056	0.5170801463
2	0.9654696133	0.4459627538
3	0.9661368348	0.384892324
4	0.969571231	0.3372081714
5	0.9696132597	0.2964870226
6	0.9696132597	0.2617288533
7	0.9724517906	0.2325890661
8	0.9717046239	0.2131538052
9	0.9752747253	0.1927984103
10	0.9752747253	0.1750957319
11	0.9766803841	0.158308446
12	0.978021978	0.1453926532
13	0.9773507207	0.1359133717
14	0.9786941581	0.1270050988
15	0.9800960879	0.1200428695
16	0.9794238683	0.1122497244
17	0.9814941741	0.1045480527
18	0.9843003413	0.09805593056
19	0.9849726776	0.09286130745
20	0.985665529	0.08854466414
21	0.985665529	0.08407243275
22	0.9863387978	0.08053546497
23	0.987012987	0.07776478619
24	0.9870307167	0.0754946013
25	0.9863574352	0.0726609407
26	0.987704918	0.07012700354
27	0.988380041	0.06788379472
28	0.9890710383	0.06585683556
29	0.9890710383	0.0642404589
30	0.9890710383	0.06265260745
31	0.9890710383	0.06037898474
32	0.9897610922	0.05885297282
33	0.9897610922	0.05766238811
34	0.9904502046	0.05587940889
35	0.9904502046	0.05415108219
36	0.9904502046	0.0529277909
37	0.9904502046	0.05130278642
38	0.9904502046	0.05050199135
39	0.9904502046	0.04957823955
40	0.9904502046	0.04843060993
41	0.9904502046	0.04699068503
42	0.9904502046	0.04572487759
43	0.9904502046	0.04465352206
44	0.9904502046	0.04385889772
45	0.9911383776	0.04301935066
46	0.9918256131	0.04231973216
47	0.9918256131	0.04119819402
48	0.9925119129	0.04033869396
49	0.9931880109	0.03946413531
50	0.9931880109	0.03894825016
51	0.9938650307	0.03826916832
52	0.9945504087	0.03720577896
53	0.9945504087	0.03656199205
54	0.9945504087	0.03590186135
55	0.9945504087	0.03532735336
56	0.9945504087	0.03500846637
57	0.9945504087	0.03451974311
58	0.9945504087	0.03382780958
59	0.9945504087	0.03329576731
60	0.9945504087	0.03296933519
61	0.9945504087	0.03232681863
62	0.9945504087	0.03180037399
63	0.9945504087	0.03142147022
64	0.9945504087	0.03094710739
65	0.9952283572	0.03045496667
66	0.9952283572	0.02994286283
67	0.9952283572	0.02952268639
68	0.9959128065	0.02899502127
69	0.9959128065	0.02852014742
70	0.9959128065	0.02808697364
71	0.9959128065	0.02761302084
72	0.9959128065	0.02718892115
73	0.996596324	0.02689441674
74	0.996596324	0.02646905329
75	0.996596324	0.0262044851
76	0.996596324	0.02577539947
77	0.9972752044	0.02552206244
78	0.9979577944	0.0251884555
79	0.9979577944	0.02489050862
80	0.9979577944	0.02441573449
81	0.9979577944	0.02411057306
82	0.9979577944	0.02380582689
83	0.9979577944	0.023511735
84	0.9979577944	0.02318522439
85	0.9979577944	0.02287295176
86	0.9979577944	0.02262927345
87	0.9979577944	0.02235815956
88	0.9979577944	0.02216505165
89	0.9979577944	0.02187014674
90	0.9979577944	0.02163885684
91	0.9979577944	0.02142270028
92	0.9979577944	0.02120918963
93	0.9979577944	0.02098388842
94	0.9979577944	0.02073966841
95	0.9979577944	0.02049133844
96	0.9979577944	0.020221289
97	0.9979577944	0.01992278679
98	0.9979577944	0.01958911434
99	0.9979577944	0.01925925515
100	0.9986376022	0.01896097038
101	0.9986376022	0.01865441212
102	0.9986376022	0.01849551184
103	0.9986376022	0.01834844886
104	0.9986376022	0.01805284245
105	0.9986376022	0.01786004317
106	0.9986376022	0.01764139797
107	0.9986376022	0.01743523655
108	0.9986376022	0.01721218078
109	0.9986376022	0.01691684991
110	0.9986376022	0.01663919192
111	0.9986376022	0.01646218629
112	0.9986376022	0.01623826036
113	0.9986376022	0.01607311051
114	0.9986376022	0.0158660709
115	0.9986376022	0.01570614046
116	0.9986376022	0.01558950511
117	0.9986376022	0.01540585166
118	0.9986376022	0.0152774668
119	0.9986376022	0.01510070625
120	0.9986376022	0.01493379454
121	0.9986376022	0.01482717412
122	0.9986376022	0.01466755415
123	0.9986376022	0.01445198196
124	0.9986376022	0.01424988483
125	0.9986376022	0.01409331782
126	0.9993183367	0.01405387974
127	1	0.01389144457
128	1	0.01376017556
129	1	0.0136238899
130	1	0.013469346
131	1	0.01333980255
132	1	0.01316874699
133	1	0.01310163762
134	1	0.0129949453
135	1	0.01280143465
136	1	0.01266038076
137	1	0.01246898676
138	1	0.01232390821
139	1	0.01217496215
140	1	0.01205302942
141	1	0.01192950107
142	1	0.01184330235
143	1	0.01170963334
144	1	0.01159198784
145	1	0.01149064114
146	1	0.01140270377
147	1	0.01123749002
148	1	0.01106090632
149	1	0.01098965683
150	1	0.01093455174
151	1	0.01078736211
152	1	0.01073525399
153	1	0.01059630156
154	1	0.01052875192
155	1	0.01042204122
156	1	0.0103519595
157	1	0.01024185121
158	1	0.01015303501
159	1	0.01009817529
160	1	0.009986401026
161	1	0.009920808069
162	1	0.009828816041
163	1	0.009765233874
164	1	0.009701411125
165	1	0.009634340757
166	1	0.009532167421
167	1	0.009462068411
168	1	0.009324973133
169	1	0.009301822998
170	1	0.009268764568
171	1	0.009167196489
172	1	0.00908554728
173	1	0.008992622931
174	1	0.008937574613
175	1	0.008857253302
176	1	0.008812141453
177	1	0.008754763223
178	1	0.008691288798
179	1	0.008642532755
180	1	0.008576046474
181	1	0.008476677023
182	1	0.008460546779
183	1	0.008401271702
184	1	0.008337828141
185	1	0.008284051913
186	1	0.008233511356
187	1	0.008151578563
188	1	0.008079562518
189	1	0.007983197301
190	1	0.007898346964
191	1	0.007855552273
192	1	0.00782286665
193	1	0.007780541818
194	1	0.007734523892
195	1	0.007656667286
196	1	0.007632468414
197	1	0.007593549471
198	1	0.007551796547
199	1	0.007494658808
200	1	0.007451701468
201	1	0.007409088073
202	1	0.007368802999
203	1	0.007346881312
204	1	0.00727345031
205	1	0.007199777794
206	1	0.00717523693
207	1	0.007137663856
208	1	0.007117529405
209	1	0.007054621641
210	1	0.007028971417
211	1	0.006960661189
212	1	0.006928117931
213	1	0.00690576161
214	1	0.0068829079
215	1	0.006864943471
216	1	0.006834326314
217	1	0.006783087572
218	1	0.0067138873
219	1	0.00665353061
220	1	0.006622931807
221	1	0.006563485555
222	1	0.006509565243
223	1	0.006482547504
224	1	0.006413544322
225	1	0.006357107434
226	1	0.006327762203
227	1	0.006298004649
228	1	0.006256867857
229	1	0.006231121889
230	1	0.006184051368
231	1	0.006154797034
232	1	0.006098596325
233	1	0.006087959642
234	1	0.006071594162
235	1	0.006038070989
236	1	0.006012665404
237	1	0.00598240676
238	1	0.005960362683
239	1	0.005908131827
240	1	0.005894238241
241	1	0.00587137651
242	1	0.005830923075
243	1	0.005776508128
244	1	0.00574388292
245	1	0.005701043259
246	1	0.005665789799
247	1	0.005626503218
248	1	0.005593111373
249	1	0.00557281817
250	1	0.005525027701
251	1	0.005507088069
252	1	0.005473028058
253	1	0.00543690736
254	1	0.005416892703
255	1	0.005372542876
256	1	0.005346850952
257	1	0.005321705019
258	1	0.005280662833
259	1	0.005247301819
260	1	0.005232808849
261	1	0.005213918183
262	1	0.005195624703
263	1	0.005148643709
264	1	0.005131345989
265	1	0.00510847435
266	1	0.005093159847
267	1	0.005077947568
268	1	0.00504641769
269	1	0.005026519071
270	1	0.005019710378
271	1	0.00500467079
272	1	0.004985069974
273	1	0.004955378838
274	1	0.004941326338
275	1	0.004912488995
276	1	0.004871440851
277	1	0.004857848572
278	1	0.004829587103
279	1	0.00481372255
280	1	0.004782650836
281	1	0.004765295361
282	1	0.004735792406
283	1	0.004708263916
284	1	0.004690370395
285	1	0.004664075135
286	1	0.004647187945
287	1	0.004631361337
